Level 2: Skill to upgrade: Skill(name='Raven', prerequisites=[], required_level=1, base_level=1)
Level 80: Skill to upgrade: Skill(name='Werewolf', prerequisites=[], required_level=1, base_level=7)
Level 81: Skill to upgrade: Skill(name='Werebear', prerequisites=[], required_level=6, base_level=11)
Level 82: Skill to upgrade: Skill(name='Armageddon', prerequisites=['Volcano'], required_level=30, base_level=1)
Level 83: Skill to upgrade: Skill(name='Armageddon', prerequisites=['Volcano'], required_level=30, base_level=2)
Level 84: Skill to upgrade: Skill(name='Firestorm', prerequisites=[], required_level=1, base_level=4)
Level 85: Skill to upgrade: Skill(name='Shock Wave', prerequisites=['Maul'], required_level=24, base_level=2)
Level 86: Skill to upgrade: Skill(name='Armageddon', prerequisites=['Volcano'], required_level=30, base_level=3)
Level 87: Skill to upgrade: Skill(name='Lycanthropy', prerequisites=['Werewolf'], required_level=1, base_level=5)
Level 88: Skill to upgrade: Skill(name='Fissure', prerequisites=['Molten Boulder'], required_level=12, base_level=5)
Level 89: Skill to upgrade: Skill(name='Volcano', prerequisites=['Fissure'], required_level=24, base_level=2)
Level 90: Skill to upgrade: Skill(name='Oak Sage', prerequisites=[], required_level=6, base_level=2)
Level 91: Skill to upgrade: Skill(name='Summon Dire Wolf', prerequisites=['Oak Sage', 'Summon Spirit Wolf'], required_level=18, base_level=3)
Level 92: Skill to upgrade: Skill(name='Twister', prerequisites=['Cyclone Armor'], required_level=18, base_level=1)
Level 93: Skill to upgrade: Skill(name='Werewolf', prerequisites=[], required_level=1, base_level=8)
Level 94: Skill to upgrade: Skill(name='Heart of Wolverine', prerequisites=['Oak Sage'], required_level=18, base_level=3)
Level 95: Skill to upgrade: Skill(name='Arctic Blast', prerequisites=[], required_level=6, base_level=9)
Level 96: Skill to upgrade: Skill(name='Fissure', prerequisites=['Molten Boulder'], required_level=12, base_level=6)
Level 97: Skill to upgrade: Skill(name='Werewolf', prerequisites=[], required_level=1, base_level=9)
Level 98: Skill to upgrade: Skill(name='Poison Creeper', prerequisites=[], required_level=1, base_level=4)
Level 99: Skill to upgrade: Skill(name='Fire Claws', prerequisites=['Feral Rage', 'Maul'], required_level=18, base_level=3)
Level 100: Skill to upgrade: Skill(name='Summon Dire Wolf', prerequisites=['Oak Sage', 'Summon Spirit Wolf'], required_level=18, base_level=4)
